遥远的距离电视剧	2097	1519	1515	2044	0.74	0.97	1.00
美女	59143	1492	1049	57499	0.02	0.97	0.70
欢乐颂	2434	1485	1484	2413	0.62	0.99	1.00
超级飞侠	2710	1474	1458	2628	0.55	0.97	0.99
彝海结盟	1867	1468	1452	1743	0.83	0.93	0.99
猎刃	2474	1461	1459	2462	0.59	1.00	1.00
七月与安生	5731	1461	1401	5345	0.26	0.93	0.96
王者荣耀	3549	1450	1262	3206	0.39	0.90	0.87
锵锵三人行	4484	1424	1410	4415	0.32	0.98	0.99
中国式闹婚惹外媒热议	2391	1410	1388	2224	0.62	0.93	0.98
亲爱的翻译官	1669	1399	1399	1661	0.84	1.00	1.00
我和我的传奇奶奶	1972	1389	1388	1869	0.74	0.95	1.00
快乐大本营最新一期	4268	1374	1371	4195	0.33	0.98	1.00
奥特曼	2829	1365	1145	2326	0.49	0.82	0.84
ppap神曲	2367	1338	1126	1885	0.60	0.80	0.84
镇魂街	3521	1336	1333	3446	0.39	0.98	1.00
今夜百乐门	5674	1331	1267	5354	0.24	0.94	0.95
绝命后卫师	2616	1315	1310	2540	0.52	0.97	1.00
秦时明月之君临天下5	3260	1312	1310	3239	0.40	0.99	1.00
平凡的世界	1591	1307	1303	1566	0.83	0.98	1.00
黄金单身汉	2745	1304	1302	2676	0.49	0.97	1.00
wwe	4052	1290	1197	3626	0.33	0.89	0.93
小米mix	1540	1258	1095	1277	0.86	0.83	0.87
长征	2518	1244	1135	2191	0.52	0.87	0.91
如果蜗牛有爱情电视剧	2323	1244	1240	2284	0.54	0.98	1.00
经典传奇	3241	1237	1119	2735	0.41	0.84	0.90
猪猪侠	2739	1231	1209	2685	0.45	0.98	0.98
妻子的谎言	1672	1230	1229	1651	0.74	0.99	1.00
超星星学园	2381	1216	1215	2372	0.51	1.00	1.00
非诚勿扰	2959	1213	1194	2818	0.42	0.95	0.98
驴得水	3864	1213	1135	3548	0.32	0.92	0.94
天龙八部	2180	1200	1190	2119	0.56	0.97	0.99
琅琊榜电视剧	1447	1193	1193	1436	0.83	0.99	1.00
广场舞	4146	1184	750	2403	0.31	0.58	0.63
少帅	1300	1183	1183	1295	0.91	1.00	1.00
甄嬛传电视剧76集	1328	1174	1174	1324	0.89	1.00	1.00
爱情公寓	2306	1173	1171	2277	0.51	0.99	1.00
盗墓笔记	3293	1169	1166	3225	0.36	0.98	1.00
朴槿惠陷“闺蜜门”	6251	1167	1161	6160	0.19	0.99	0.99
赌神2	3293	1161	951	2977	0.32	0.90	0.82
上错花轿之三嫁奇缘	2305	1158	1156	2275	0.51	0.99	1.00
饭局的诱惑	2546	1157	1157	2538	0.46	1.00	1.00
定制幸福 电视剧	2222	1151	1149	2210	0.52	0.99	1.00
卧虎电视剧	1209	1144	1144	1207	0.95	1.00	1.00
running man	2820	1140	1140	2801	0.41	0.99	1.00
习近平会见洪秀柱	2005	1136	1096	1827	0.60	0.91	0.96
金牌调解	2245	1135	1091	2065	0.53	0.92	0.96
欢乐喜剧人	5244	1133	1047	4905	0.21	0.94	0.92
小公主苏菲亚	717	1132	1127	682	1.65	0.95	1.00
蓝瘦香菇	1764	1131	1057	1504	0.70	0.85	0.93
伪装者	1433	1125	1125	1388	0.81	0.97	1.00
炮神电视剧	1536	1112	1112	1518	0.73	0.99	1.00
小米note2	2335	1103	854	1851	0.46	0.79	0.77
西游记	2504	1096	1093	2360	0.46	0.94	1.00
名侦探柯南	1780	1088	1081	1742	0.62	0.98	0.99
宜昌保卫战	1915	1086	1082	1856	0.58	0.97	1.00
少女龙婆	3744	1083	1083	3744	0.29	1.00	1.00
四大名助	2218	1083	1081	2177	0.50	0.98	1.00
傻儿传奇	1736	1081	1078	1705	0.63	0.98	1.00
伏击电视剧	1804	1066	1045	1750	0.60	0.97	0.98
skt vs ssg	1765	1061	1012	1711	0.59	0.97	0.95
杉杉来了	1387	1044	1044	1366	0.76	0.98	1.00
且行且珍惜电视剧	1437	1043	1043	1431	0.73	1.00	1.00
完美告白	2945	1030	918	2328	0.39	0.79	0.89
芈月传	1288	1030	1029	1242	0.83	0.96	1.00
歼-20	1482	1028	987	1361	0.73	0.92	0.96
龙珠超	3776	1028	1022	3592	0.28	0.95	0.99
珠海航展歼20	1132	1021	997	1082	0.92	0.96	0.98
朴槿惠	2450	1020	911	1915	0.48	0.78	0.89
武林风	2609	1020	983	2539	0.39	0.97	0.96
大头儿子小头爸爸	2067	995	973	1985	0.49	0.96	0.98
洪秀柱访问大陆	1653	985	922	1373	0.67	0.83	0.94
我是特种兵	2185	977	977	2152	0.45	0.98	1.00
林正英电影国语	1613	970	793	818	0.97	0.51	0.82
妻子的秘密	1536	969	967	1525	0.63	0.99	1.00
猎刃电视剧	1499	968	967	1495	0.65	1.00	1.00
我不是妖怪	2236	968	967	2188	0.44	0.98	1.00
我要上蒙面	2080	966	962	2057	0.47	0.99	1.00
三国演义	1989	962	955	1919	0.50	0.96	0.99
笑傲江湖	3725	960	950	3514	0.27	0.94	0.99
熊出没之过年	2922	950	898	2628	0.34	0.90	0.95
骡子和金子	2117	947	940	2062	0.46	0.97	0.99
十八届六中全会	2183	947	833	1844	0.45	0.84	0.88
我是红军	1742	944	937	1680	0.56	0.96	0.99
周星驰电影	1880	939	532	849	0.63	0.45	0.57
金星脱口秀	1939	937	928	1911	0.49	0.99	0.99
珠海航展 歼20	1209	933	911	1159	0.79	0.96	0.98
僵尸电影	2107	930	541	817	0.66	0.39	0.58
洪秀柱拜谒中山陵	2853	922	902	2756	0.33	0.97	0.98
华晨宇我的滑板鞋	1486	918	899	1446	0.62	0.97	0.98
太太万岁	1332	917	915	1301	0.70	0.98	1.00
跨界喜剧王	2902	916	878	2792	0.31	0.96	0.96
岳云鹏	2353	909	813	1846	0.44	0.78	0.89
宋小宝	2186	901	725	1641	0.44	0.75	0.80
爸爸去哪儿4期	2527	893	893	2525	0.35	1.00	1.00
刘翔新欢旧爱开撕	5456	892	888	5394	0.16	0.99	1.00
2016珠海航展	2374	891	683	1907	0.36	0.80	0.77
古惑仔1(人在江湖)	2454	886	817	2389	0.34	0.97	0.92
傻根进城	2230	882	850	2185	0.39	0.98	0.96
我的滑板鞋 华晨宇	1490	869	861	1445	0.60	0.97	0.99
